text,start,end,imdbid,imdbid_pe,season,episode,scaled_end,scaled_start,duration,tvad_name,tvad_index,bboxes,pred_ids
He stalks off in a huff.,1079.53,1080.75,tt0108778,tt0583537,2,9,1081.14,1079.14,2.0,friends_s02e09_seg02_clip_15,"[131, 132, 132, 133, 133, 133, 134, 134, 135, 135, 135, 136, 136, 137, 137, 137]","[[[397, 94, 488, 217], [354, 142, 385, 186], [205, 182, 269, 294]], [[392, 92, 483, 216], [354, 139, 384, 183], [205, 188, 268, 292], [291, 156, 323, 201]], [[392, 92, 483, 216], [354, 139, 384, 183], [205, 188, 268, 292], [291, 156, 323, 201]], [[407, 86, 506, 221], [290, 161, 327, 207], [206, 186, 267, 294], [354, 142, 384, 183]], [[407, 86, 506, 221], [290, 161, 327, 207], [206, 186, 267, 294], [354, 142, 384, 183]], [[407, 86, 506, 221], [290, 161, 327, 207], [206, 186, 267, 294], [354, 142, 384, 183]], [[366, 249, 415, 310], [435, 139, 540, 283], [347, 142, 378, 184], [194, 193, 261, 298], [281, 161, 314, 205]], [[366, 249, 415, 310], [435, 139, 540, 283], [347, 142, 378, 184], [194, 193, 261, 298], [281, 161, 314, 205]], [[217, 164, 285, 254]], [[217, 164, 285, 254]], [[217, 164, 285, 254]], [[218, 155, 286, 247], [105, 116, 153, 204]], [[218, 155, 286, 247], [105, 116, 153, 204]], [[204, 153, 275, 244]], [[204, 153, 275, 244]], [[204, 153, 275, 244]]]","{'nm0001710': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 1), (7, 1)], 'nm0000098': [(8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0)]}"
Mr. Trigger turns to Rachel.,1081.01,1082.351,tt0108778,tt0583537,2,9,1082.68,1080.68,2.0,friends_s02e09_seg02_clip_15,"[136, 137, 137, 137, 138, 138, 139, 139, 139, 140, 140, 141, 141, 141, 142, 142]","[[[218, 155, 286, 247], [105, 116, 153, 204]], [[204, 153, 275, 244]], [[204, 153, 275, 244]], [[204, 153, 275, 244]], [[192, 156, 261, 248]], [[192, 156, 261, 248]], [[178, 164, 255, 254]], [[178, 164, 255, 254]], [[178, 164, 255, 254]], [[157, 173, 235, 263]], [[157, 173, 235, 263]], [[169, 159, 235, 258]], [[169, 159, 235, 258]], [[169, 159, 235, 258]], [[205, 174, 245, 255]], [[205, 174, 245, 255]]]","{'nm0000098': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0)]}"
She smiles and fidgets.,1091.895,1093.136,tt0108778,tt0583537,2,9,1093.516,1091.516,2.0,friends_s02e09_seg02_clip_15,"[169, 169, 169, 170, 170, 171, 171, 171, 172, 172, 173, 173, 173, 174, 174, 175]","[[[180, 119, 264, 220], [67, 127, 88, 153]], [[180, 119, 264, 220], [67, 127, 88, 153]], [[180, 119, 264, 220], [67, 127, 88, 153]], [[181, 130, 268, 233]], [[181, 130, 268, 233]], [[181, 132, 267, 240]], [[181, 132, 267, 240]], [[181, 132, 267, 240]], [[200, 120, 284, 230]], [[200, 120, 284, 230]], [[224, 120, 306, 227]], [[224, 120, 306, 227]], [[224, 120, 306, 227]], [[227, 127, 305, 235]], [[227, 127, 305, 235]], [[521, 146, 553, 187], [333, 92, 417, 193]]]","{'nm0000098': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0)], 'nm0002235': [(15, 1)]}"
She walks away.,1103.413,1104.173,tt0108778,tt0583537,2,9,1104.793,1102.793,2.0,friends_s02e09_seg02_clip_16,"[25, 26, 26, 27, 27, 27, 28, 28, 29, 29, 29, 30, 30, 31, 31, 31]","[[[190, 134, 272, 237], [341, 67, 402, 179], [558, 122, 595, 174]], [[204, 165, 277, 257], [590, 120, 618, 159], [335, 97, 418, 192], [94, 132, 118, 168], [30, 134, 54, 169], [144, 207, 175, 254], [465, 156, 497, 200], [251, 107, 271, 131]], [[204, 165, 277, 257], [590, 120, 618, 159], [335, 97, 418, 192], [94, 132, 118, 168], [30, 134, 54, 169], [144, 207, 175, 254], [465, 156, 497, 200], [251, 107, 271, 131]], [[588, 119, 617, 158], [201, 173, 275, 262], [339, 93, 423, 191], [95, 132, 117, 168], [151, 207, 182, 255], [461, 154, 494, 195], [28, 134, 51, 169], [187, 134, 248, 209]], [[588, 119, 617, 158], [201, 173, 275, 262], [339, 93, 423, 191], [95, 132, 117, 168], [151, 207, 182, 255], [461, 154, 494, 195], [28, 134, 51, 169], [187, 134, 248, 209]], [[588, 119, 617, 158], [201, 173, 275, 262], [339, 93, 423, 191], [95, 132, 117, 168], [151, 207, 182, 255], [461, 154, 494, 195], [28, 134, 51, 169], [187, 134, 248, 209]], [[587, 120, 616, 159], [341, 92, 425, 190], [28, 134, 51, 166], [92, 131, 114, 168], [461, 154, 493, 193], [129, 176, 208, 272]], [[587, 120, 616, 159], [341, 92, 425, 190], [28, 134, 51, 166], [92, 131, 114, 168], [461, 154, 493, 193], [129, 176, 208, 272]], [[588, 120, 618, 159], [157, 204, 190, 250], [23, 176, 91, 270], [345, 90, 430, 187], [463, 157, 496, 202], [539, 265, 572, 304]], [[588, 120, 618, 159], [157, 204, 190, 250], [23, 176, 91, 270], [345, 90, 430, 187], [463, 157, 496, 202], [539, 265, 572, 304]], [[588, 120, 618, 159], [157, 204, 190, 250], [23, 176, 91, 270], [345, 90, 430, 187], [463, 157, 496, 202], [539, 265, 572, 304]], [[167, 206, 202, 252], [587, 120, 617, 159], [348, 87, 432, 188], [89, 133, 111, 168], [460, 159, 495, 202]], [[167, 206, 202, 252], [587, 120, 617, 159], [348, 87, 432, 188], [89, 133, 111, 168], [460, 159, 495, 202]], [[167, 206, 201, 252], [586, 120, 616, 158], [345, 85, 430, 189], [86, 131, 108, 170], [23, 134, 44, 166], [460, 160, 493, 202]], [[167, 206, 201, 252], [586, 120, 616, 158], [345, 85, 430, 189], [86, 131, 108, 170], [23, 134, 44, 166], [460, 160, 493, 202]], [[167, 206, 201, 252], [586, 120, 616, 158], [345, 85, 430, 189], [86, 131, 108, 170], [23, 134, 44, 166], [460, 160, 493, 202]]]","{'nm0000098': [(0, 0), (1, 0), (2, 0), (3, 1), (4, 1), (5, 1)], 'nm0002235': [(1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 1), (7, 1), (8, 3), (9, 3), (10, 3), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2)]}"
"In Albany, Phoebe hurries back to the cab.",1104.834,1106.915,tt0108778,tt0583537,2,9,1106.915,1104.834,2.081,friends_s02e09_seg02_clip_16,"[32, 32, 32, 33, 33, 34, 34, 34, 35, 35, 36, 36, 37, 37, 37, 38]","[[[166, 205, 200, 251], [346, 84, 430, 190], [588, 121, 617, 159], [86, 131, 107, 170], [18, 133, 38, 166], [458, 161, 492, 204]], [[166, 205, 200, 251], [346, 84, 430, 190], [588, 121, 617, 159], [86, 131, 107, 170], [18, 133, 38, 166], [458, 161, 492, 204]], [[166, 205, 200, 251], [346, 84, 430, 190], [588, 121, 617, 159], [86, 131, 107, 170], [18, 133, 38, 166], [458, 161, 492, 204]], [[351, 100, 432, 189]], [[351, 100, 432, 189]], [], [], [], [[309, 183, 339, 229]], [[309, 183, 339, 229]], [], [], [], [], [], [[286, 134, 318, 179]]]","{'nm0002235': [(0, 1), (1, 1), (2, 1)]}"
Chandler and Joey sleep in the back seat as she climbs inside.,1107.475,1110.636,tt0108778,tt0583537,2,9,1110.636,1107.475,3.161,friends_s02e09_seg02_clip_16,"[39, 40, 41, 41, 42, 43, 43, 44, 45, 45, 46, 46, 47, 48, 48, 49]","[[], [[186, 204, 275, 315], [357, 200, 450, 294]], [[183, 204, 275, 317], [359, 202, 447, 293]], [[183, 204, 275, 317], [359, 202, 447, 293]], [[186, 205, 275, 319]], [[184, 204, 276, 313], [357, 204, 446, 292]], [[184, 204, 276, 313], [357, 204, 446, 292]], [[184, 202, 275, 314], [357, 206, 446, 294]], [[183, 202, 276, 315], [356, 206, 445, 294]], [[183, 202, 276, 315], [356, 206, 445, 294]], [[184, 202, 276, 314], [357, 206, 445, 294]], [[184, 202, 276, 314], [357, 206, 445, 294]], [[183, 201, 275, 315], [357, 207, 447, 294]], [[87, 218, 141, 283]], [[87, 218, 141, 283]], [[86, 217, 143, 285]]]","{'nm0001455': [(1, 1), (2, 1), (3, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1)], 'nm0001612': [(5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0)]}"
Chandler and Joey startle awake.,1113.917,1115.518,tt0108778,tt0583537,2,9,1115.718,1113.718,2.0,friends_s02e09_seg02_clip_16,"[58, 59, 59, 59, 60, 60, 61, 61, 61, 62, 62, 63, 63, 63, 64, 64]","[[[438, 152, 500, 239], [91, 180, 146, 249], [217, 170, 271, 243]], [[101, 158, 157, 234], [436, 141, 499, 231], [230, 149, 287, 226]], [[101, 158, 157, 234], [436, 141, 499, 231], [230, 149, 287, 226]], [[101, 158, 157, 234], [436, 141, 499, 231], [230, 149, 287, 226]], [[106, 162, 163, 237], [463, 146, 522, 229], [238, 148, 296, 229]], [[106, 162, 163, 237], [463, 146, 522, 229], [238, 148, 296, 229]], [[110, 167, 167, 241], [240, 153, 297, 227], [456, 136, 514, 207]], [[110, 167, 167, 241], [240, 153, 297, 227], [456, 136, 514, 207]], [[110, 167, 167, 241], [240, 153, 297, 227], [456, 136, 514, 207]], [[111, 169, 166, 244], [241, 152, 299, 228], [473, 145, 531, 228]], [[111, 169, 166, 244], [241, 152, 299, 228], [473, 145, 531, 228]], [[109, 171, 166, 247], [478, 131, 543, 208], [243, 158, 299, 233]], [[109, 171, 166, 247], [478, 131, 543, 208], [243, 158, 299, 233]], [[109, 171, 166, 247], [478, 131, 543, 208], [243, 158, 299, 233]], [[105, 175, 163, 249], [248, 163, 305, 234], [499, 139, 559, 219]], [[105, 175, 163, 249], [248, 163, 305, 234], [499, 139, 559, 219]]]","{'nm0001435': [(0, 0), (1, 1), (2, 1), (3, 1), (11, 1), (12, 1), (13, 1)]}"
She bobs her head and glances off.,1159.772,1161.533,tt0108778,tt0583537,2,9,1161.652,1159.652,2.0,friends_s02e09_seg02_clip_17,"[10, 10, 11, 11, 11, 12, 12, 13, 13, 13, 14, 14, 15, 15, 15, 16]","[[[293, 104, 411, 294]], [[293, 104, 411, 294]], [[266, 128, 381, 309]], [[266, 128, 381, 309]], [[266, 128, 381, 309]], [[296, 128, 418, 305]], [[296, 128, 418, 305]], [[301, 118, 427, 306]], [[301, 118, 427, 306]], [[301, 118, 427, 306]], [[302, 110, 428, 305]], [[302, 110, 428, 305]], [[298, 109, 426, 303]], [[298, 109, 426, 303]], [[298, 109, 426, 303]], [[298, 107, 427, 302]]]","{'nm0001435': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0)]}"
Their faces soften.,1173.446,1174.546,tt0108778,tt0583537,2,9,1174.996,1172.996,2.0,friends_s02e09_seg02_clip_17,"[50, 50, 51, 51, 52, 52, 52, 53, 53, 54, 54, 54, 55, 55, 56, 56]","[[[285, 90, 410, 294]], [[285, 90, 410, 294]], [[291, 92, 423, 286]], [[291, 92, 423, 286]], [[449, 148, 548, 272], [126, 173, 218, 294]], [[449, 148, 548, 272], [126, 173, 218, 294]], [[449, 148, 548, 272], [126, 173, 218, 294]], [[128, 168, 218, 292], [432, 134, 523, 263]], [[128, 168, 218, 292], [432, 134, 523, 263]], [[428, 128, 521, 259], [126, 167, 216, 289]], [[428, 128, 521, 259], [126, 167, 216, 289]], [[428, 128, 521, 259], [126, 167, 216, 289]], [[435, 127, 525, 254], [125, 166, 216, 287]], [[435, 127, 525, 254], [125, 166, 216, 287]], [[444, 128, 538, 249], [124, 165, 215, 286]], [[444, 128, 538, 249], [124, 165, 215, 286]]]","{'nm0001435': [(0, 0), (1, 0), (2, 0), (3, 0)], 'nm0001612': [(4, 1), (5, 1), (6, 1), (7, 0), (8, 0), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)], 'nm0001455': [(7, 1), (8, 1), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0)]}"
She hugs herself and slumps down.,1186.81,1188.57,tt0108778,tt0583537,2,9,1188.69,1186.69,2.0,friends_s02e09_seg02_clip_17,"[91, 92, 92, 92, 93, 93, 94, 94, 94, 95, 95, 96, 96, 96, 97, 97]","[[[306, 71, 448, 267]], [[316, 79, 456, 274]], [[316, 79, 456, 274]], [[316, 79, 456, 274]], [[325, 85, 465, 278]], [[325, 85, 465, 278]], [[326, 96, 465, 288]], [[326, 96, 465, 288]], [[326, 96, 465, 288]], [[329, 99, 467, 292]], [[329, 99, 467, 292]], [[474, 133, 575, 254], [128, 181, 220, 300]], [[474, 133, 575, 254], [128, 181, 220, 300]], [[474, 133, 575, 254], [128, 181, 220, 300]], [[468, 127, 567, 254], [128, 179, 219, 299]], [[468, 127, 567, 254], [128, 179, 219, 299]]]","{'nm0001435': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0)], 'nm0001455': [(11, 0), (12, 0), (13, 0), (14, 0), (15, 0)], 'nm0001612': [(11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]}"
"Smiling, she takes their hands through a hole in the partition.",1205.198,1208.34,tt0108778,tt0583537,2,9,1208.34,1205.198,3.142,friends_s02e09_seg02_clip_17,"[147, 147, 148, 149, 149, 150, 151, 151, 152, 152, 153, 154, 154, 155, 156, 156]","[[[348, 104, 466, 265]], [[348, 104, 466, 265]], [[470, 117, 567, 248], [121, 163, 216, 277]], [[454, 120, 544, 246], [123, 172, 214, 289]], [[454, 120, 544, 246], [123, 172, 214, 289]], [[449, 111, 537, 240], [118, 168, 206, 286]], [[467, 108, 556, 237], [124, 166, 212, 287]], [[467, 108, 556, 237], [124, 166, 212, 287]], [[495, 114, 567, 238], [138, 172, 230, 293]], [[495, 114, 567, 238], [138, 172, 230, 293]], [[143, 175, 234, 293], [510, 120, 583, 243]], [[118, 169, 208, 291], [511, 132, 584, 253]], [[118, 169, 208, 291], [511, 132, 584, 253]], [[492, 126, 571, 252], [104, 165, 195, 288]], [[105, 162, 198, 287], [486, 121, 567, 248]], [[105, 162, 198, 287], [486, 121, 567, 248]]]","{'nm0001435': [(0, 0), (1, 0)], 'nm0001455': [(2, 0), (5, 0), (6, 0), (7, 0), (13, 0), (14, 1), (15, 1)], 'nm0001612': [(2, 1), (3, 1), (4, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 0), (11, 0), (12, 0), (14, 0), (15, 0)]}"
"Pulling her hand back, she gives them a smile.",1213.782,1215.823,tt0108778,tt0583537,2,9,1215.823,1213.782,2.041,friends_s02e09_seg02_clip_17,"[173, 173, 173, 174, 174, 175, 175, 175, 176, 176, 177, 177, 177, 178, 178, 179]","[[[364, 100, 485, 244]], [[364, 100, 485, 244]], [[364, 100, 485, 244]], [[349, 87, 470, 239]], [[349, 87, 470, 239]], [[342, 86, 462, 237]], [[342, 86, 462, 237]], [[342, 86, 462, 237]], [[350, 88, 473, 238]], [[350, 88, 473, 238]], [[353, 91, 475, 240]], [[353, 91, 475, 240]], [[353, 91, 475, 240]], [], [], []]","{'nm0001435': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0)]}"
Chandler clamps his lips and wrings his hands.,706.655,708.917,tt0108778,tt0583567,2,10,708.917,706.655,2.262,friends_s02e10_seg02_clip_09,"[46, 47, 47, 48, 48, 49, 49, 50, 50, 50, 51, 51, 52, 52, 53, 53]","[[[173, 97, 260, 214], [439, 61, 518, 176]], [[173, 96, 259, 214], [426, 69, 506, 184]], [[173, 96, 259, 214], [426, 69, 506, 184]], [[165, 93, 253, 213], [402, 75, 478, 190]], [[165, 93, 253, 213], [402, 75, 478, 190]], [[159, 92, 245, 209], [372, 86, 446, 199]], [[159, 92, 245, 209], [372, 86, 446, 199]], [[144, 82, 231, 201], [331, 101, 408, 224]], [[144, 82, 231, 201], [331, 101, 408, 224]], [[144, 82, 231, 201], [331, 101, 408, 224]], [[135, 78, 221, 192]], [[135, 78, 221, 192]], [[146, 69, 230, 185]], [[146, 69, 230, 185]], [[172, 68, 255, 182]], [[172, 68, 255, 182]]]","{'nm0001612': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0)], 'nm0001435': [(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1)]}"
"Bobby stares off, then sets his cup aside and heads out.",714.335,717.056,tt0108778,tt0583567,2,10,717.056,714.335,2.721,friends_s02e10_seg02_clip_09,"[69, 70, 70, 71, 72, 72, 73, 73, 74, 74, 75, 75, 76, 76, 77, 77]","[[[295, 119, 387, 242]], [[295, 119, 386, 241]], [[295, 119, 386, 241]], [[295, 126, 388, 244]], [[266, 99, 358, 229]], [[266, 99, 358, 229]], [[229, 111, 310, 235]], [[229, 111, 310, 235]], [[193, 111, 273, 241]], [[193, 111, 273, 241]], [[187, 128, 269, 252]], [[187, 128, 269, 252]], [[295, 75, 367, 192]], [[295, 75, 367, 192]], [[267, 54, 370, 202]], [[267, 54, 370, 202]]]","{'nm0893283': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0)], 'nm0001073': [(14, 0), (15, 0)]}"
Russ walks in wearing sunglasses.,754.176,755.658,tt0108778,tt0583567,2,10,755.917,753.917,2.0,friends_s02e10_seg02_clip_10,"[5, 5, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 9, 10, 10, 11]","[[[237, 55, 332, 188]], [[237, 55, 332, 188]], [[237, 55, 332, 188]], [[222, 66, 317, 199]], [[222, 66, 317, 199]], [[212, 106, 266, 178], [440, 331, 493, 404], [132, 60, 170, 102], [462, 170, 484, 212]], [[212, 106, 266, 178], [440, 331, 493, 404], [132, 60, 170, 102], [462, 170, 484, 212]], [[212, 106, 266, 178], [440, 331, 493, 404], [132, 60, 170, 102], [462, 170, 484, 212]], [[217, 107, 270, 180], [443, 335, 497, 406], [156, 43, 195, 95], [465, 173, 487, 213]], [[217, 107, 270, 180], [443, 335, 497, 406], [156, 43, 195, 95], [465, 173, 487, 213]], [[219, 112, 273, 184], [452, 343, 504, 410], [148, 28, 191, 82], [468, 176, 491, 218]], [[219, 112, 273, 184], [452, 343, 504, 410], [148, 28, 191, 82], [468, 176, 491, 218]], [[219, 112, 273, 184], [452, 343, 504, 410], [148, 28, 191, 82], [468, 176, 491, 218]], [[224, 117, 278, 189], [465, 351, 517, 418], [124, 69, 168, 123], [474, 182, 495, 223]], [[224, 117, 278, 189], [465, 351, 517, 418], [124, 69, 168, 123], [474, 182, 495, 223]], [[230, 119, 283, 191], [475, 351, 528, 419], [112, 59, 156, 118], [480, 182, 500, 222]]]","{'nm0001435': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0)], 'nm0001612': [(5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0)], 'nm0001073': [(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1)], 'nm0001710': [(15, 2)]}"
Chandler cowers away.,758.594,759.596,tt0108778,tt0583567,2,10,760.095,758.095,2.0,friends_s02e10_seg02_clip_10,"[17, 18, 18, 18, 19, 19, 20, 20, 20, 21, 21, 22, 22, 22, 23, 23]","[[[313, 82, 358, 151], [119, 66, 169, 127], [507, 339, 554, 403], [528, 192, 548, 229]], [[384, 81, 430, 145], [111, 62, 153, 124], [498, 332, 541, 392], [529, 191, 547, 226]], [[384, 81, 430, 145], [111, 62, 153, 124], [498, 332, 541, 392], [529, 191, 547, 226]], [[384, 81, 430, 145], [111, 62, 153, 124], [498, 332, 541, 392], [529, 191, 547, 226]], [[415, 78, 460, 137], [97, 68, 137, 127], [510, 324, 551, 381]], [[415, 78, 460, 137], [97, 68, 137, 127], [510, 324, 551, 381]], [[421, 81, 465, 138], [92, 77, 129, 132], [529, 337, 564, 381]], [[421, 81, 465, 138], [92, 77, 129, 132], [529, 337, 564, 381]], [[421, 81, 465, 138], [92, 77, 129, 132], [529, 337, 564, 381]], [[424, 79, 468, 137], [534, 327, 573, 382], [88, 79, 129, 134]], [[424, 79, 468, 137], [534, 327, 573, 382], [88, 79, 129, 134]], [[432, 83, 477, 141], [525, 326, 566, 382], [85, 84, 122, 133]], [[432, 83, 477, 141], [525, 326, 566, 382], [85, 84, 122, 133]], [[432, 83, 477, 141], [525, 326, 566, 382], [85, 84, 122, 133]], [[177, 110, 260, 222]], [[177, 110, 260, 222]]]","{'nm0001612': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0)], 'nm0001073': [(1, 2), (2, 2), (3, 2)], 'nm0001710': [(14, 0), (15, 0)]}"
"Russ walks past Phoebe, who shudders and steps over to Rachel.",773.612,776.776,tt0108778,tt0583567,2,10,776.776,773.612,3.164,friends_s02e10_seg02_clip_10,"[64, 64, 65, 66, 66, 67, 68, 68, 69, 70, 70, 71, 71, 72, 73, 73]","[[[126, 144, 191, 236], [278, 119, 357, 218]], [[126, 144, 191, 236], [278, 119, 357, 218]], [[346, 158, 401, 234], [96, 144, 196, 249]], [[357, 143, 415, 219], [5, 107, 83, 202], [153, 135, 215, 223]], [[357, 143, 415, 219], [5, 107, 83, 202], [153, 135, 215, 223]], [[188, 112, 244, 202], [366, 135, 427, 208], [521, 208, 556, 249]], [[214, 96, 275, 188], [374, 125, 436, 197]], [[214, 96, 275, 188], [374, 125, 436, 197]], [[276, 98, 343, 191], [358, 118, 416, 190]], [[304, 87, 368, 181], [571, 149, 620, 220], [458, 150, 502, 219]], [[304, 87, 368, 181], [571, 149, 620, 220], [458, 150, 502, 219]], [[453, 148, 500, 223], [265, 78, 328, 180]], [[453, 148, 500, 223], [265, 78, 328, 180]], [[240, 72, 315, 163], [83, 111, 126, 179], [325, 153, 369, 223]], [[253, 88, 326, 185]], [[253, 88, 326, 185]]]","{'nm0001435': [(0, 0), (1, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 1), (12, 1), (13, 0), (14, 0), (15, 0)], 'nm0001710': [(0, 1), (1, 1)]}"
Ross sits on the couch as Chandler stands.,813.385,815.245,tt0108778,tt0583567,2,10,815.315,813.315,2.0,friends_s02e10_seg02_clip_11,"[6, 7, 7, 7, 8, 8, 9, 9, 9, 10, 10, 11, 11, 11, 12, 12]","[[[482, 113, 542, 199], [300, 230, 341, 295], [203, 81, 266, 180]], [[301, 228, 344, 295], [478, 117, 537, 201], [191, 97, 267, 194]], [[301, 228, 344, 295], [478, 117, 537, 201], [191, 97, 267, 194]], [[301, 228, 344, 295], [478, 117, 537, 201], [191, 97, 267, 194]], [[473, 114, 536, 202], [170, 112, 248, 213], [303, 228, 347, 298]], [[473, 114, 536, 202], [170, 112, 248, 213], [303, 228, 347, 298]], [[471, 109, 536, 198], [197, 108, 279, 213], [83, 106, 105, 133]], [[471, 109, 536, 198], [197, 108, 279, 213], [83, 106, 105, 133]], [[471, 109, 536, 198], [197, 108, 279, 213], [83, 106, 105, 133]], [[429, 97, 494, 180], [193, 83, 287, 195]], [[429, 97, 494, 180], [193, 83, 287, 195]], [[365, 62, 428, 150], [8, 57, 99, 182]], [[365, 62, 428, 150], [8, 57, 99, 182]], [[365, 62, 428, 150], [8, 57, 99, 182]], [[156, 121, 199, 184], [305, 16, 370, 105]], [[156, 121, 199, 184], [305, 16, 370, 105]]]","{'nm0001435': [(0, 0), (1, 1), (2, 1), (3, 1), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 1), (15, 1)], 'nm0001710': [(0, 2), (1, 2), (2, 2), (3, 2), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)]}"
Ross grimaces as they leave.,924.488,926.028,tt0108778,tt0583567,2,10,926.258,924.258,2.0,friends_s02e10_seg02_clip_12,"[153, 153, 154, 154, 155, 155, 155, 156, 156, 157, 157, 157, 158, 158, 159, 159]","[[[272, 121, 369, 253]], [[272, 121, 369, 253]], [[274, 120, 370, 250]], [[274, 120, 370, 250]], [[513, 169, 544, 208], [354, 184, 380, 219], [242, 188, 280, 240], [463, 117, 478, 137], [210, 108, 229, 132], [126, 47, 144, 72]], [[513, 169, 544, 208], [354, 184, 380, 219], [242, 188, 280, 240], [463, 117, 478, 137], [210, 108, 229, 132], [126, 47, 144, 72]], [[513, 169, 544, 208], [354, 184, 380, 219], [242, 188, 280, 240], [463, 117, 478, 137], [210, 108, 229, 132], [126, 47, 144, 72]], [[510, 168, 541, 207], [348, 184, 376, 220], [470, 114, 485, 135], [233, 187, 273, 240], [200, 107, 220, 132], [12, 101, 44, 135]], [[510, 168, 541, 207], [348, 184, 376, 220], [470, 114, 485, 135], [233, 187, 273, 240], [200, 107, 220, 132], [12, 101, 44, 135]], [[344, 185, 372, 221], [513, 168, 545, 207], [195, 106, 214, 131], [227, 187, 266, 240], [472, 112, 488, 135], [7, 96, 33, 126]], [[344, 185, 372, 221], [513, 168, 545, 207], [195, 106, 214, 131], [227, 187, 266, 240], [472, 112, 488, 135], [7, 96, 33, 126]], [[344, 185, 372, 221], [513, 168, 545, 207], [195, 106, 214, 131], [227, 187, 266, 240], [472, 112, 488, 135], [7, 96, 33, 126]], [[513, 171, 544, 209], [339, 184, 368, 221], [188, 105, 206, 127], [228, 190, 260, 239], [470, 112, 485, 135], [99, 117, 115, 137]], [[513, 171, 544, 209], [339, 184, 368, 221], [188, 105, 206, 127], [228, 190, 260, 239], [470, 112, 485, 135], [99, 117, 115, 137]], [[505, 170, 537, 209], [333, 183, 362, 220], [180, 103, 201, 128], [465, 111, 480, 133], [220, 193, 247, 237], [119, 31, 132, 51]], [[505, 170, 537, 209], [333, 183, 362, 220], [180, 103, 201, 128], [465, 111, 480, 133], [220, 193, 247, 237], [119, 31, 132, 51]]]","{'nm0001710': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 2), (5, 2), (6, 2), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3)], 'nm0866300': [(4, 1), (5, 1), (6, 1)]}"
